n_sim,l,s,cr_mean,glv_mean,div
0.0,0.37,30.0,10.42401111155407,0.2720733851005241,0.0
0.0,0.37,35.0,10.122518368911427,0.18204171161244753,0.0
0.0,0.37,40.0,7.296401024812707,0.1329889818479813,0.0
0.0,0.37,45.0,7.043845665667633,0.16305266208252087,0.0
0.0,0.37,50.0,7.148199496061566,0.14947943271816233,0.0
0.0,0.37,55.0,5.188856748979392,0.12624392566014836,0.0
0.0,0.41000000000000003,10.0,51.53393508968095,0.6355671091184203,0.0
0.0,0.41000000000000003,15.0,28.192928807837564,0.24516832682958062,0.0
0.0,0.41000000000000003,20.0,32.22584862056324,0.4331587258166392,0.0
0.0,0.41000000000000003,25.0,11.169076102713541,0.15588342602298477,0.0
0.0,0.41000000000000003,30.0,9.678926513963281,0.1945085222580098,0.0
0.0,0.41000000000000003,35.0,9.089727205511956,0.1594950744245201,0.0
0.0,0.41000000000000003,40.0,9.4432309126075,0.2550489862694472,0.0
0.0,0.41000000000000003,45.0,0.0,0.0,1.0
0.0,0.41000000000000003,50.0,6.620673755136851,0.15065182112087971,0.0
0.0,0.41000000000000003,55.0,5.460107323684552,0.1542154143411964,0.0
0.0,0.45,10.0,31.18316670460847,0.407129242717246,0.0
0.0,0.45,15.0,36.45673006753006,0.37914529182941525,0.0
0.0,0.45,20.0,13.326391186566951,0.14998318268561833,0.0
0.0,0.45,25.0,16.68117847115807,0.28637200711125854,0.0
0.0,0.45,30.0,8.749565481468279,0.15650586898175628,0.0
0.0,0.45,35.0,8.998150989819445,0.12270503059664616,0.0
0.0,0.45,40.0,7.364830689736361,0.16366706567745287,0.0
0.0,0.45,45.0,7.111167347131215,0.11048731719081101,0.0
0.0,0.45,50.0,8.104142206236821,0.14670218219170678,0.0
0.0,0.45,55.0,5.284540418610307,0.11248813594917759,0.0
0.0,0.49,10.0,53.03607627174266,0.4090156057243154,0.0
0.0,0.49,15.0,22.109128646358023,0.1826581557921088,0.0
0.0,0.49,20.0,18.52316481003474,0.19483220525947595,0.0
0.0,0.49,25.0,18.298091780060204,0.2664306322732857,0.0
0.0,0.49,30.0,9.53730617850925,0.18123362160940024,0.0
0.0,0.49,35.0,11.200387414373017,0.174323149361869,0.0
0.0,0.49,40.0,0.0,0.0,1.0
0.0,0.49,45.0,7.390123693659167,0.13302020247355154,0.0
0.0,0.49,50.0,6.678948528766706,0.18760911637883496,0.0
0.0,0.49,55.0,6.303006836136004,0.10458652158469842,0.0
0.0,0.53,10.0,38.10978055691464,0.30794996622111254,0.0
0.0,0.53,15.0,35.6005214483889,0.2378428704133772,0.0
0.0,0.53,20.0,16.74861728690894,0.29780771998273525,0.0
0.0,0.53,25.0,19.127800827454177,0.26567185997709347,0.0
0.0,0.53,30.0,11.314662433017885,0.23977355666448946,0.0
0.0,0.53,35.0,11.537718258868088,0.2142295773674851,0.0
0.0,0.53,40.0,9.366833236203195,0.14732480672448336,0.0
0.0,0.53,45.0,5.7609478034475385,0.10049404326192955,0.0
0.0,0.53,50.0,6.6432843377894155,0.1794780400648823,0.0
0.0,0.53,55.0,6.380884340622667,0.1142773851327346,0.0
0.0,0.5700000000000001,10.0,36.88350875922285,0.32551460271671007,0.0
0.0,0.5700000000000001,15.0,26.317550363788673,0.2527751206591212,0.0
0.0,0.5700000000000001,20.0,18.00341133790665,0.3026991046480441,0.0
0.0,0.5700000000000001,25.0,11.363307101577282,0.15686213973761126,0.0
0.0,0.5700000000000001,30.0,0.0,0.0,1.0
0.0,0.5700000000000001,35.0,10.898425925290782,0.17730440539844122,0.0
0.0,0.5700000000000001,40.0,10.473640127208123,0.16108600502235082,0.0
0.0,0.5700000000000001,45.0,8.291304850529205,0.18221551873075856,0.0
0.0,0.5700000000000001,50.0,5.8010052293323175,0.08132062975000394,0.0
0.0,0.5700000000000001,55.0,6.178478029645351,0.1668813374103818,0.0
0.0,0.61,10.0,30.911768249652898,0.16570167075786166,0.0
0.0,0.61,15.0,30.745581471309478,0.36307036620673544,0.0
0.0,0.61,20.0,15.407316383667828,0.22710755533279717,0.0
0.0,0.61,25.0,17.537699368353984,0.2453957583831176,0.0
0.0,0.61,30.0,12.38016674453268,0.150057264881599,0.0
0.0,0.61,35.0,10.278298656907678,0.21662881446522947,0.0
0.0,0.61,40.0,0.0,0.0,1.0
0.0,0.61,45.0,7.293807844275169,0.16812349390782147,0.0
0.0,0.61,50.0,7.048645713435181,0.12263004478871255,0.0
0.0,0.61,55.0,5.204518412599922,0.08101560690880545,0.0
0.0,0.65,10.0,25.74367040981239,0.2721235697903516,0.0
0.0,0.65,15.0,31.987088530127714,0.3419156366089248,0.0
0.0,0.65,20.0,15.647818290679245,0.1383569221912801,0.0
0.0,0.65,25.0,13.029047502317033,0.11758881186224578,0.0
0.0,0.65,30.0,9.238611281739757,0.1862638267920736,0.0
0.0,0.65,35.0,11.46624958631633,0.17586261375325313,0.0
0.0,0.65,40.0,7.370535456976296,0.08702608648605202,0.0
0.0,0.65,45.0,7.104419457050129,0.10434205903392457,0.0
0.0,0.65,50.0,7.182662412488478,0.1187860819004787,0.0
0.0,0.65,55.0,0.0,0.0,1.0
0.0,0.6900000000000001,10.0,28.43423272280699,0.17266358771428167,0.0
0.0,0.6900000000000001,15.0,24.027847329657188,0.16703943668572724,0.0
0.0,0.6900000000000001,20.0,23.773638002055243,0.3341860289913883,0.0
0.0,0.6900000000000001,25.0,14.835777372160498,0.08709777653541557,0.0
0.0,0.6900000000000001,30.0,9.44527980937502,0.14370293193976155,0.0
0.0,0.6900000000000001,35.0,10.089533338478766,0.16890269391163143,0.0
0.0,0.6900000000000001,40.0,10.239917391015002,0.10640574702143253,0.0
0.0,0.6900000000000001,45.0,7.075887538647856,0.08280059915332855,0.0
0.0,0.6900000000000001,50.0,7.131108616255939,0.1369920288159909,0.0
0.0,0.6900000000000001,55.0,7.091927427689307,0.10883039071760486,0.0
0.0,0.73,10.0,41.67570985450174,0.14047073650140568,0.0
0.0,0.73,15.0,29.626758726188978,0.21058576648064417,0.0
0.0,0.73,20.0,14.514089776235608,0.1289867016038876,0.0
0.0,0.73,25.0,0.0,0.0,1.0
0.0,0.73,30.0,15.196339209495772,0.19502326934277375,0.0
0.0,0.73,35.0,0.0,0.0,1.0
0.0,0.73,40.0,7.145764677732615,0.0916441216715695,0.0
0.0,0.73,45.0,6.266937229252796,0.13723930517135977,0.0
0.0,0.73,50.0,8.264260425268496,0.15353088514202803,0.0
0.0,0.73,55.0,5.7655545850489345,0.0736397072657701,0.0
0.0,0.77,10.0,37.78554610079972,0.10706880806903996,0.0
0.0,0.77,15.0,18.634571428006343,0.20562079645302112,0.0
0.0,0.77,20.0,15.338455213025162,0.04619065917641204,0.0
0.0,0.77,25.0,14.542465463342717,0.22052804833496417,0.0
0.0,0.77,30.0,0.0,0.0,1.0
0.0,0.77,35.0,0.0,0.0,1.0
0.0,0.77,40.0,0.0,0.0,1.0
0.0,0.77,45.0,6.94887716809316,0.11889594407522225,0.0
