n_sim,l,s,cr_mean,glv_mean,div
0.0,0.33,35.0,0.0,0.0,1.0
0.0,0.33,40.0,6.847613721026136,0.06966230144668441,0.0
0.0,0.33,45.0,7.8219988503105355,0.06389197196480695,0.0
0.0,0.33,50.0,6.769262677113357,0.05782244921252399,0.0
0.0,0.33,55.0,5.794241251886059,0.07815078006003644,0.0
0.0,0.37,10.0,32.91146234125971,0.18665453331063425,0.0
0.0,0.37,15.0,38.65787412381555,0.2766147848693636,0.0
0.0,0.37,20.0,14.55508318780841,0.09078875523098429,0.0
0.0,0.37,25.0,0.0,0.0,1.0
0.0,0.37,30.0,9.643282733248999,0.09383964713810754,0.0
0.0,0.37,35.0,9.168403535310935,0.1050507423758868,0.0
0.0,0.37,40.0,7.7404323122137555,0.07975148245213401,0.0
0.0,0.37,45.0,8.822987016654228,0.06056448619238935,0.0
0.0,0.37,50.0,0.0,0.0,1.0
0.0,0.37,55.0,6.3551241567363235,0.06610946557194584,0.0
0.0,0.41000000000000003,10.0,24.816996045193516,0.12102710829701431,0.0
0.0,0.41000000000000003,15.0,19.340526417154347,0.11387013436262032,0.0
0.0,0.41000000000000003,20.0,18.012823301044204,0.12654977207763213,0.0
0.0,0.41000000000000003,25.0,16.263994697734734,0.1015555408080158,0.0
0.0,0.41000000000000003,30.0,11.085796606460736,0.09210076088562258,0.0
0.0,0.41000000000000003,35.0,0.0,0.0,1.0
0.0,0.41000000000000003,40.0,7.809218307648393,0.09592665921579598,0.0
0.0,0.41000000000000003,45.0,8.642326411139054,0.07702523920037954,0.0
0.0,0.41000000000000003,50.0,6.690399552392308,0.06358662871789261,0.0
0.0,0.41000000000000003,55.0,7.530982175446372,0.08250229223555784,0.0
0.0,0.45,10.0,38.62368417405335,0.17717773932400915,0.0
0.0,0.45,15.0,17.74540287072404,0.10634218748450243,0.0
0.0,0.45,20.0,16.539944206560996,0.0961469571243718,0.0
0.0,0.45,25.0,14.299891336755222,0.08624105131133045,0.0
0.0,0.45,30.0,12.285673034890772,0.11636643157557593,0.0
0.0,0.45,35.0,9.248494315286955,0.09062115865615268,0.0
0.0,0.45,40.0,11.200687008930608,0.08130245464129818,0.0
0.0,0.45,45.0,7.43275131868469,0.06348262638756998,0.0
0.0,0.45,50.0,6.565989823408594,0.04934866143395416,0.0
0.0,0.45,55.0,5.798305083903744,0.05753826726406026,0.0
0.0,0.49,10.0,27.416424891808287,0.15856556476427164,0.0
0.0,0.49,15.0,20.74504881247517,0.171688492692788,0.0
0.0,0.49,20.0,13.89353198071989,0.07705548577391794,0.0
0.0,0.49,25.0,14.169579908813764,0.11236493404695466,0.0
0.0,0.49,30.0,13.462325982140772,0.08738214602963244,0.0
0.0,0.49,35.0,9.741548650278709,0.09125653946650479,0.0
0.0,0.49,40.0,0.0,0.0,1.0
0.0,0.49,45.0,6.405852172999299,0.08504925407276057,0.0
0.0,0.49,50.0,7.706468721085027,0.057259980075133596,0.0
0.0,0.49,55.0,5.725760492104231,0.04813575975488513,0.0
0.0,0.53,10.0,34.50079127595738,0.11293258604112799,0.0
0.0,0.53,15.0,27.09242729803182,0.11459059767220546,0.0
0.0,0.53,20.0,15.061510967601714,0.06799538135025164,0.0
0.0,0.53,25.0,12.376771246064584,0.06187282980957613,0.0
0.0,0.53,30.0,12.098404489667807,0.07137761959570614,0.0
0.0,0.53,35.0,8.49696936701762,0.06461587812367887,0.0
0.0,0.53,40.0,9.371186752134307,0.061248455883723865,0.0
0.0,0.53,45.0,7.329151226568133,0.048690183656636965,0.0
0.0,0.53,50.0,6.375798553073901,0.06604046538084747,0.0
0.0,0.53,55.0,6.917941991848256,0.08650378304565272,0.0
0.0,0.5700000000000001,10.0,35.38272609651814,0.12428460600379172,0.0
0.0,0.5700000000000001,15.0,19.969997721798432,0.07372435222417492,0.0
0.0,0.5700000000000001,20.0,14.097881900910687,0.08064495840490919,0.0
0.0,0.5700000000000001,25.0,14.361667068961887,0.1407144094817243,0.0
0.0,0.5700000000000001,30.0,10.697665271105297,0.09433659617873429,0.0
0.0,0.5700000000000001,35.0,9.71465394664664,0.07342867721514193,0.0
0.0,0.5700000000000001,40.0,8.339327276019086,0.0439812421958149,0.0
0.0,0.5700000000000001,45.0,9.754885232714143,0.06927085013646586,0.0
0.0,0.5700000000000001,50.0,7.550775871763293,0.06335672364724954,0.0
0.0,0.5700000000000001,55.0,6.912233243801226,0.06160519563774548,0.0
0.0,0.61,10.0,38.64180012684592,0.11525193600409936,0.0
0.0,0.61,15.0,24.451561803632107,0.1106499584586837,0.0
0.0,0.61,20.0,21.093106209883917,0.11188196774936592,0.0
0.0,0.61,25.0,11.810291120734153,0.062367616054672316,0.0
0.0,0.61,30.0,12.541422793196785,0.07695607577237083,0.0
0.0,0.61,35.0,10.124643729214904,0.08527656270107016,0.0
0.0,0.61,40.0,8.0770813342841,0.040722586193155406,0.0
0.0,0.61,45.0,8.961577998542069,0.056518337446059046,0.0
0.0,0.61,50.0,5.510203366393992,0.045162711442958955,0.0
0.0,0.61,55.0,6.449033202011665,0.07186602647618581,0.0
0.0,0.65,10.0,29.415771352334435,0.06083420300953424,0.0
